Gen,Mean_DCT_Cx,Mean_DCT_Tx
hsa-miR-654-001611,4.1036729150521604e-4,0.001073716043533929
hsa-miR-654-3p-002239,3.4053334331234654e-5,1.1681251073738489e-4
hsa-miR-655-001612,4.932085603748165e-4,0.0010006295014196311
hsa-miR-660-001515,0.0012342155183555608,0.0014092325895082546
hsa-miR-671-3p-002322,0.0010249425124866896,7.364801740881817e-4
hsa-miR-672-002327,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-674-002021,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-708-002341,0.0012072911631229135,0.0011835634544830728
hsa-miR-744-002324,0.0016205953475741817,0.003246412698342289
hsa-miR-758-001990,1.7165325467481676e-4,2.940137391584745e-4
hsa-miR-871-002354,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-872-002264,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-873-002356,1.1133187508937528e-6,1.8329547917539693e-6
hsa-miR-875-3p-002204,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-876-3p-002225,3.29285668572679e-6,1.2200853253523625e-6
hsa-miR-876-5p-002205,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-885-3p-002372,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-885-5p-002296,1.9970815984412014e-5,1.7915601442146175e-5
hsa-miR-886-3p-002194,0.0021537927023163607,0.001722886383673266
hsa-miR-886-5p-002193,2.9712525481921746e-4,3.1578288259823497e-4
hsa-miR-887-002374,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-888-002212,0.11728469407248841,0.12397612165341644
hsa-miR-889-002202,2.657207857670628e-4,4.461778915372241e-4
hsa-miR-890-002209,0.0016501939590140777,0.0011634437010906223
hsa-miR-891a-002191,1.024474291209177e-5,3.972843710722386e-6
hsa-miR-891b-002210,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-892a-002195,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-9-000583,0.026536783315285212,0.013004632098105998
hsa-miR-92a-000431,0.017986392137041087,0.007939074732332437
hsa-miR-95-000433,4.816179134251696e-6,3.0049383955655986e-5
hsa-miR-98-000577,1.1133187508937528e-6,1.909132754810739e-6
hsa-miR-99a-000435,0.4390855483625544,0.5584688882406823
hsa-miR-99b-000436,0.03717849263225543,0.03232857093100556
